title,date,dateLabel,city,department,bookingUrl,status,override_status,isHighlighted
La Flèche d'Or,1/11/2007,1 novembre 2007,Paris,75,,Past,,
La Bellevilloise,22/11/2007,22 novembre 2007,Paris ,75,,Past,,
Onze Bouge,8/6/2008,8 juin 2008,Paris,75,,Past,,
Solidays,6/7/2008,6 juillet 2008,Paris,75,,Past,,
Terres du Son,12/7/2008,12 juillet 2008,Saint-Pierre-des-Corps,37,,Past,,
Arènes de Vienne,13/7/2008,13 juillet 2008,Vienne,38,,Past,,
Cap Festival,8/8/2008,8 août 2008,Laclau,12,,Past,,
Les Transhumances,9/8/2008,9 août 2008,La Réole,33,,Past,,
Couvre Feu,24/8/2008,24 août 2008,Corsept,44,,Past,,
La Cigale,25/11/2008,25 novembre 2008,Paris,75,,Past,,
Le Forum,13/12/2008,13 décembre 2008,Vauréal,95,,Past,,
File 7,28/2/2009,28 février 2009,Magny-le-Hongre,77,,Past,,
Le Botanique,6/3/2009,6 mars 2009,Bruxelles,Belgique,,Past,,
L'Ouvre-Boîte,7/3/2009,7 mars 2009,Beauvais,60,,Past,,
Fnac Saint-Lazare,24/3/2009,24 mars 2009,Paris,75,,Past,,
Atabal,27/3/2009,27 mars 2009,Biarritz,64,,Past,,
Le Bikini,28/3/2009,28 mars 2009,Ramonville-Saint-Agne,31,,Past,,
Zénith Oméga,3/4/2009,3 avril 2009,Toulon,83,,Past,,
Le 106,9/4/2009,9 avril 2009,Rouen,76,,Past,,
Le Splendid,24/4/2009,24 avril 2009,Lille,59,,Past,,
Le Bataclan,28/4/2009,28 avril 2009,Paris,75,,Past,,
Le Bataclan,29/4/2009,29 avril 2009,Paris,75,,Past,,
Les Nuits Botanique,13/5/2009,13 mai 2009,Bruxelles,Belgique,,Past,,
Papillons de Nuit,23/5/2009,23 mai 2009,Saint-Laurent-de-Cuves,50,,Past,,
Fête de la Musique,21/6/2009,21 juin 2009,Saint-Lô,50,,Past,,
Décibulles,28/6/2009,28 juin 2009,Neuve-Église,67,,Past,,
Free Music Festival,3/7/2009,3 juillet 2009,Montendre,17,,Past,,
Les Francofolies,13/7/2009,13 juillet 2009,La Rochelle,17,,Past,,
Francofolies de Spa,20/7/2009,20 juillet 2009,Spa,Belgique,,Past,,
Calvados Rock,7/8/2009,7 août 2009,Bayeux,14,,Past,,
Le Sax,13/11/2009,13 novembre 2009,Achères,78,,Past,,
L'Usine,27/11/2009,27 novembre 2009,Istres,13,,Past,,
L'Observatoire,4/12/2009,4 décembre 2009,Cergy-Pontoise,95,,Past,,
L'Élysée Montmartre,12/12/2009,12 décembre 2009,Paris,75,,Past,,
La Clé des Champs,18/12/2009,18 décembre 2009,Saint-Laurent-sur-Sèvre,85,,Past,,
L'Éphémère,19/12/2009,19 décembre 2009,Vannes,56,,Past,,
Le Chabada,18/3/2010,18 mars 2010,Angers,49,,Past,,
Printemps de Bourges,17/4/2010,17 avril 2010,Bourges,18,,Past,,
Glazart,14/7/2010,14 juillet 2010,Paris,75,,Past,,
Été des 6 jeudis,29/7/2010,29 juillet 2010,Mayenne,53,,Past,,
La Cigale,6/10/2010,6 octobre 2010,Paris,75,,Past,,
La Maroquinerie,12/10/2010,12 octobre 2010,Paris,75,,Past,,
La Cigale,12/3/2011,12 mars 2011,Paris,75,,Past,,
Festival Chorus,2/4/2011,2 avril 2011,La Défense,92,,Past,,
Le Bikini,24/6/2011,24 juin 2011,Toulouse,31,,Past,,
L'Aéronef,30/9/2011,30 septembre 2011,Lille,59,,Past,,
Le Trianon,5/11/2011,5 novembre 2011,Paris,75,,Past,,
La Coopérative de Mai,22/3/2012,22 mars 2012,Clermont-Ferrand,63,,Past,,
Le Forum,13/4/2012,13 avril 2012,Vauréal,95,,Past,,
Rock School Barbey,14/4/2012,14 avril 2012,Bordeaux,33,,Past,,
Le Bataclan,3/5/2012,3 mai 2012,Paris,75,,Past,,
Le Splendid,19/5/2012,19 mai 2012,Lille,59,,Past,,
Le Transbordeur,15/6/2012,15 juin 2012,Lyon,69,,Past,,
L'Européen,15/10/2012,15 octobre 2012,Paris,75,,Past,,
Les Primeurs de Massy,2/11/2012,2 novembre 2012,Massy,91,,Past,,
Festival Chorus,7/4/2013,7 avril 2013,La Défense,92,,Past,,
Festival d'Aurillac,22/8/2013,22 août 2013,Aurillac,15,,Past,,
Les Trois Baudets,12/11/2013,12 novembre 2013,Paris,75,,Past,,
Café de la Danse,21/3/2014,21 mars 2014,Paris,75,,Past,,
Festival Off Avignon,20/7/2014,20 juillet 2014,Avignon,84,,Past,,
Festival Alors Chante,10/5/2015,10 mai 2015,Montauban,82,,Past,,
Terres du Son,10/7/2016,10 juillet 2016,Monts,37,,Past,,
Festival Best of Live,9/6/2018,9 juin 2018,Hoerdt,67,,Past,,
Festival de Poupet,14/7/2018,14 juillet 2018,Saint-Malô-du-Bois,85,,Past,,
Le Trabendo,22/2/2019,22 février 2019,Paris,75,,Past,,
LaSemo,10/7/2022,10 juillet 2022,Enghien,Belgique,,Past,,
Poupet Déraille XXL,21/7/2023,21 juillet 2023,Saint-Malô-du-Bois,85,,Past,,
Festid'AL,13/7/2024,13 juillet 2024,Gorron,53,,Past,,
La Roue Cool,17/5/2026,17 mai 2026,La Gaubretière,85,https://larouecool.fr/event-item/dimanche-17-mai/,Upcoming,,checked